Date,Close,Adj Close
2014-09-19,93.889999,93.889999
2014-09-22,89.889999,89.889999
2014-09-23,87.169998,87.169998
2014-09-24,90.57,90.57
2014-09-25,88.919998,88.919998
2014-09-26,90.459999,90.459999
2014-09-29,88.75,88.75
2014-09-30,88.849998,88.849998
2014-10-01,86.099998,86.099998
2014-10-02,87.059998,87.059998
2014-10-03,88.099998,88.099998
2014-10-06,88.309998,88.309998
2014-10-07,87.669998,87.669998
2014-10-08,88.300003,88.300003
2014-10-09,88.790001,88.790001
2014-10-10,85.879997,85.879997
2014-10-13,85.120003,85.120003
2014-10-14,84.949997,84.949997
2014-10-15,85.599998,85.599998
2014-10-16,88.849998,88.849998
2014-10-17,87.910004,87.910004
2014-10-20,88.260002,88.260002
2014-10-21,90.900002,90.900002
2014-10-22,91.629997,91.629997
2014-10-23,94.449997,94.449997
2014-10-24,95.760002,95.760002
2014-10-27,97.790001,97.790001
2014-10-28,99.68,99.68
2014-10-29,98.309998,98.309998
2014-10-30,98.730003,98.730003
2014-10-31,98.599998,98.599998
2014-11-03,101.800003,101.800003
2014-11-04,106.07,106.07
2014-11-05,108.669998,108.669998
2014-11-06,111.57,111.57
2014-11-07,114.559998,114.559998
2014-11-10,119.150002,119.150002
2014-11-11,114.540001,114.540001
2014-11-12,118.199997,118.199997
2014-11-13,114.839996,114.839996
2014-11-14,115.099998,115.099998
2014-11-17,114.25,114.25
2014-11-18,110.809998,110.809998
2014-11-19,108.82,108.82
2014-11-20,109.82,109.82
2014-11-21,110.730003,110.730003
2014-11-24,113.919998,113.919998
2014-11-25,113.470001,113.470001
2014-11-26,112.669998,112.669998
2014-11-28,111.639999,111.639999
2014-12-01,105.989998,105.989998
2014-12-02,109.889999,109.889999
2014-12-03,110.639999,110.639999
2014-12-04,109.169998,109.169998
2014-12-05,107.900002,107.900002
2014-12-08,105.07,105.07
2014-12-09,107.480003,107.480003
2014-12-10,103.879997,103.879997
2014-12-11,104.970001,104.970001
2014-12-12,105.110001,105.110001
2014-12-15,104.699997,104.699997
2014-12-16,105.769997,105.769997
2014-12-17,109.019997,109.019997
2014-12-18,109.25,109.25
2014-12-19,110.650002,110.650002
2014-12-22,108.769997,108.769997
2014-12-23,105.519997,105.519997
2014-12-24,105.949997,105.949997
2014-12-26,105.949997,105.949997
2014-12-29,105.980003,105.980003
2014-12-30,105.75,105.75
2014-12-31,103.940002,103.940002
2015-01-02,103.599998,103.599998
2015-01-05,101.0,101.0
2015-01-06,103.32,103.32
2015-01-07,102.129997,102.129997
2015-01-08,105.029999,105.029999
2015-01-09,103.019997,103.019997
2015-01-12,101.620003,101.620003
2015-01-13,100.769997,100.769997
2015-01-14,99.580002,99.580002
2015-01-15,96.309998,96.309998
2015-01-16,96.889999,96.889999
2015-01-20,100.040001,100.040001
2015-01-21,103.290001,103.290001
2015-01-22,104.0,104.0
2015-01-23,103.110001,103.110001
2015-01-26,103.989998,103.989998
2015-01-27,102.940002,102.940002
2015-01-28,98.449997,98.449997
2015-01-29,89.809998,89.809998
2015-01-30,89.080002,89.080002
2015-02-02,90.129997,90.129997
2015-02-03,90.610001,90.610001
2015-02-04,90.0,90.0
2015-02-05,87.0,87.0
2015-02-06,85.68,85.68
2015-02-09,86.0,86.0
2015-02-10,87.260002,87.260002
2015-02-11,86.0,86.0
2015-02-12,87.099998,87.099998
2015-02-13,89.050003,89.050003
2015-02-17,86.849998,86.849998
2015-02-18,86.739998,86.739998
2015-02-19,86.889999,86.889999
2015-02-20,86.639999,86.639999
2015-02-23,85.470001,85.470001
2015-02-24,84.690002,84.690002
2015-02-25,86.190002,86.190002
2015-02-26,85.370003,85.370003
2015-02-27,85.120003,85.120003
2015-03-02,84.0,84.0
2015-03-03,81.580002,81.580002
2015-03-04,85.489998,85.489998
2015-03-05,86.099998,86.099998
2015-03-06,84.400002,84.400002
2015-03-09,82.529999,82.529999
2015-03-10,82.970001,82.970001
2015-03-11,81.989998,81.989998
2015-03-12,81.919998,81.919998
2015-03-13,81.860001,81.860001
2015-03-16,84.0,84.0
2015-03-17,84.5,84.5
2015-03-18,84.589996,84.589996
2015-03-19,85.739998,85.739998
2015-03-20,85.199997,85.199997
2015-03-23,84.25,84.25
2015-03-24,83.629997,83.629997
2015-03-25,83.75,83.75
2015-03-26,84.169998,84.169998
2015-03-27,84.580002,84.580002
2015-03-30,83.900002,83.900002
2015-03-31,83.239998,83.239998
2015-04-01,82.360001,82.360001
2015-04-02,82.279999,82.279999
2015-04-06,81.82,81.82
2015-04-07,82.209999,82.209999
2015-04-08,85.389999,85.389999
2015-04-09,86.139999,86.139999
2015-04-10,84.580002,84.580002
2015-04-13,84.279999,84.279999
2015-04-14,85.0,85.0
2015-04-15,84.669998,84.669998
2015-04-16,84.059998,84.059998
2015-04-17,81.900002,81.900002
2015-04-20,82.199997,82.199997
2015-04-21,82.419998,82.419998
2015-04-22,82.050003,82.050003
2015-04-23,82.279999,82.279999
2015-04-24,84.57,84.57
2015-04-27,84.900002,84.900002
2015-04-28,85.080002,85.080002
2015-04-29,82.449997,82.449997
2015-04-30,81.290001,81.290001
2015-05-01,81.169998,81.169998
2015-05-04,80.589996,80.589996
2015-05-05,79.540001,79.540001
2015-05-06,80.0,80.0
2015-05-07,86.0,86.0
2015-05-08,87.059998,87.059998
2015-05-11,86.720001,86.720001
2015-05-12,86.769997,86.769997
2015-05-13,87.529999,87.529999
2015-05-14,88.400002,88.400002
2015-05-15,88.459999,88.459999
2015-05-18,87.110001,87.110001
2015-05-19,88.209999,88.209999
2015-05-20,90.699997,90.699997
2015-05-21,93.879997,93.879997
2015-05-22,93.269997,93.269997
2015-05-26,92.519997,92.519997
2015-05-27,92.599998,92.599998
2015-05-28,90.949997,90.949997
2015-05-29,89.32,89.32
2015-06-01,90.779999,90.779999
2015-06-02,90.510002,90.510002
2015-06-03,90.790001,90.790001
2015-06-04,90.589996,90.589996
2015-06-05,90.709999,90.709999
